genename Y101_A Y101_B Y101_C Y102_A Y102_B Y102_C Y201_A Y201_B Y201_C Y202_A Y202_B Y202_C Y1015_A Y1015_B Y1015_C
FKBP9 608162.693557833 838976.192307849 642156.721209488 1662317.33130613 795742.148859358 1220891.7282358 631867.399251864 1215817.36692283 268472.23425392 587602.136380947 756222.241566389 971317.738741265 652173.389271806 454770.603483778 553958.083975884
PGLS 1001946.29566487 1014102.99934834 1540515.30516537 1030115.89421461 1420407.49891581 1502548.80917668 642283.552214543 1332712.52396956 1113982.70265087 1068569.15210222 1326348.68290866 1386697.59657152 5077282.50564613 6495954.50901105 2564582.32197632
PGM3 72275.3982877376 39992.7358901681 70146.0015661162 117921.435409322 114618.703464717 239580.488183894 46900.095087773 9482.31808630543 20693.8179370092 142010.307417227 146664.180130175 151818.493972229 305966.859452853 164665.690359721 139131.787300741
ADAMTS2 79277.1318380964 347288.107510597 396477.685265745 287836.737519446 345626.974253467 289341.849928737 78260.3089617831 292750.328726097 494243.486406769 40079.597940798 168831.381972823 236135.324949315 70901.7183645009 91913.5956647341 145817.180458576
FSTL3 2169148.46806061 1848810.62834166 1367643.18044678 2302135.02688337 2655476.25869078 2680402.57232683 1931776.47755835 930171.09299668 1818703.32631908 3211648.59234802 1770811.34684247 2148996.20133201 3240375.7064995 3239127.15746099 3143086.69919574
AP2A1 21219.924299424 41431.9688000469 164488.380072632 33834.2393168532 267106.523827553 487487.842613631 15015.1633406874 34185.6001636681 4653.3389388649 49643.9325214872 275548.475176391 178876.709162023 106159.872014529 24293.526796257 226354.287897745
BAG2 46851.5105269103 209599.836910348 279625.493387601 89153.9352240904 230596.094848062 209978.006834838 25800.7235596494 71343.0838704484 398269.27221343 78670.071631061 251666.240688363 208961.190503321 443211.019354611 273345.146243306 206658.731990293
BAG3 946033.360297326 1440229.53418552 895090.895844772 1352377.28765431 1366978.51245582 1961338.15520252 843981.211799405 1339152.77164794 372464.116545316 951609.417640071 1840628.66069545 1066034.66255947 3243569.9398858 2618158.18642322 1271174.49602782
BPNT1 154408.345544682 70223.4743529224 220526.703256275 193566.445767023 298529.640734572 354755.255049949 155494.904811881 346564.333791882 550115.328976807 127358.748798693 206573.016913687 165552.827191735 853693.635212 1115905.916023 512289.84205768
DDAH2 501666.421242465 395344.253942575 1575189.09509723 464869.035066964 730554.417529864 1401620.21275406 971667.848886947 970504.859476685 823939.479924563 680172.605278929 2190041.61463209 914954.638217539 1977955.93636681 2967366.01661841 2903683.75871043
